Entrada	Xénero complementario	Categoría	Sinónimos	Nota
articulábel	  	 a 	articulable 	
artillería	  	 f 	artillaría 	
artillaría	  	 f 	artillería 	
artro-	  	 pref 	artr- 	articulación
artr-	  	 pref 	artro- 	articulación
frouma	  	 f 	arume1 	
pilro	  	 m 	arume1 garfa 	
garfa	  	 f 	arume1 pilro 	
axixilar	  	 t 	arxilar 	arrodear (o gran)
heleno	 helena 	 a s 	arxivo 	ant Hélade (Grecia)
ascendible	  	 a 	ascendíbel 	
ascendíbel	  	 a 	ascendible 	
sitiar	  	 t 	asediar=> cercar=> 	
asegurable	  	 a 	asegurábel 	
asegurábel	  	 a 	asegurable 	
axexar	  	 t 	aseitar asexar 	
asexar	  	 t 	aseitar axexar 	
axexante	  	 a 	asexante 	
aseitar	  	 i 	asexar axexar 	
axexo	  	 m 	asexo 	
disimetría	  	 f 	asimetría 	
disimétrico	 disimétrica 	 a 	asimétrico 	
asimilable	  	 a 	asimilábel 	
asimilábel	  	 a 	asimilable 	
asinable	  	 a 	asinábel 	
asinábel	  	 a 	asinable 	
axuizado	 axuizada 	 pt a 	asisado 	
ácimo	  	 am 	asmo 	
asociable	  	 a 	asociábel 	
asociábel	  	 a 	asociable 	
empilladoira	  	 f 	aspilladoira 	
At	  	 sb 	astato 	
astro2	  	 m 	ástrago 	
ástrago	  	 m 	astro2 	
somadoiro	  	 m 	asucadoiro barbullo 	
sucar	  	 t 	asucar 	
asumible	  	 a 	asumíbel 	
asumíbel	  	 a 	asumible 	
asustable	  	 a 	asustábel 	
asustábel	  	 a 	asustable 	
até	  	 pp av 	ata2 	
atacable	  	 a 	atacábel 	
atacábel	  	 a 	atacable 	
atuír	  	 t pr 	atascar atoar 	
ata2	  	 pp av 	até 	
atendible	  	 a 	atendíbel 	
atendíbel	  	 a 	atendible 	
atinxible	  	 a 	atinxíbel 	
atinxíbel	  	 a 	atinxible 	
tizar	  	 i 	atizar> 	
atasco	  	 m 	atoamento 	
atascar	  	 t pr 	atoar atuír 	
atuar1	  	 t pr 	atoar> 	atuír atascar
toldar	  	 t pr 	atoldar 	
aturdir	  	 t 	atordar> 	
apoupiñar	  	 i 	atoutiñar 	
torgar	  	 t pr 	atragoar 	
atraíble	  	 a 	atraíbel 	
atraíbel	  	 a 	atraíble 	
trancallo	  	 m 	atrancallo 	
trancar	  	 t pr 	atrancar 	
apanar	  	 t pr 	atrapazar empanar2 	
retrasar	  	 t pr 	atrasar> 	
atribuíble	  	 a 	atribuíbel 	
atribuíbel	  	 a 	atribuíble 	
trollar	  	 t i pr 	atrollar 	
atollar	  	 t i pr 	atrollar> 	
atoar	  	 t pr 	atuír atascar 	obturar
aturable	  	 a 	aturábel 	
aturábel	  	 a 	aturable 	
agruar	  	 i 	aturular aturuxar grixar ufar 	
agrúo	  	 m 	aturulo aturuxo grixido ufido 	
arremollar	  	 i 	aubrar ubrar 	
audible	  	 a 	audíbel 	
audíbel	  	 a 	audible 	
agua-	  	 pref 	auga- 	
agua	  	 f 	auga=> 	
caña	  	 f 	augardente> 	bebida
aumentable	  	 a 	aumentábel 	
aumentábel	  	 a 	aumentable 	
ourensán	 ourensá 	 a s 	auriense1 	Ourense
ourilucente	  	 a 	aurilucente> 	
autopista	  	 f 	autoestrada> 	
automación	  	 f 	automatización=> 	
autoestrada	  	 f 	autopista 	
autorizable	  	 a 	autorizábel 	
autorizábel	  	 a 	autorizable 	
autoservicio	  	 m 	autoservizo> 	
avougar	  	 i 	avagar 	
abagar	  	 i 	avagar> 	
avaliable	  	 a 	avaliábel 	
avaliábel	  	 a 	avaliable 	
avegar	  	 i 	avecer 	
avecer	  	 i 	avegar 	
xoaniña	  	 f 	avelaíña velairiña voaniña voíña 	
voíña	  	 f 	avelaíña velairiña voaniña xoaniña 	
voaniña	  	 f 	avelaíña velairiña voíña xoaniña 	
velairiña	  	 f 	avelaíña voaniña voíña xoaniña 	
aballoar2	  	 pr 	avelloar> 	
avéntoa	  	 f 	aventa 	
aventa	  	 f 	avéntoa 	
avergonzar	  	 t pr 	avergoñar 	
avergoñar	  	 t pr 	avergonzar 	
avesío	 avesía 	 a m 	avesedo 	
avesedo	 aveseda 	 a m 	avesío 	
nespra	  	 f 	avespa avéspora 	
avéspora	  	 f 	avespa nespra 	
vespa	  	 f 	avespa=> 	
avesporeiro	  	 m 	avespeiro nespreiro 	
nespreiro	  	 m 	avespereiro avesporeiro 	
avespa	  	 f 	avéspora nespra 	
avespeiro	  	 m 	avesporeiro nespreiro 	
avindo	 avinda 	 pt 	avido 	pt de avir
avido	 avida 	 pt 	avindo 	pt de avir
iguala	  	 f 	avinza> 	
preaviso	  	 m 	aviso previo> 	
avagar	  	 i 	avougar 	
ábrego	 ábrega 	 a m 	ávrego> 	
asexante	  	 a 	axexante 	
asexo	  	 m 	axexo 	
arxilar	  	 t 	axixilar 	
xofrar	  	 t 	axofrar 	
enxordar	  	 t 	axordar 	
arouxo	  	 m 	axóuxere 	
asisado	 asisada 	 a 	axuizado 	
enxuizar	  	 t 	axuizar=> 	
axustable	  	 a 	axustábel 	
axustábel	  	 a 	axustable 	
zafallar	  	 t pr 	azafallar enzafallar enzafañar 	
enzafañar	  	 t pr 	azafallar enzafallar zafallar 	
enzafallar	  	 t pr 	azafallar enzafañar zafallar 	
azaballar	  	 t pr 	azafallar> 	
sasafrán	  	 m 	azafrán 	
azuído	 azuída 	 a 	azourido 	
azoute	  	 m 	azouta 	
azouta	  	 f 	azoute 	
azoar	  	 t 	azuar=> 	
azourido	 azourida 	 a 	azuído 	
babeiro	  	 m 	babadeiro 	
babexar	  	 i 	babear 	
babadeiro	  	 m 	babeiro 	
babear	  	 i 	babexar 	
babuxa	  	 f 	babuña 	
zarzallo1	  	 m 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira barruzo breca3 froallo lapiñeira mocalleira orballo patiñeira poalla 	
barbuza	  	 f 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira barruzo breca3 froallo lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
poalla	  	 f 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira barruzo breca3 froallo lapiñeira mocalleira orballo patiñeira zarzallo1 	
patiñeira	  	 f 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira barruzo breca3 froallo lapiñeira mocalleira orballo poalla zarzallo1 	
mocalleira	  	 f 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira barruzo breca3 froallo lapiñeira orballo patiñeira poalla zarzallo1 	
lapiñeira	  	 f 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira barruzo breca3 froallo mocalleira orballo patiñeira poalla zarzallo1 	
froallo	  	 m 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira barruzo breca3 lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
breca3	  	 f 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira barruzo froallo lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
barruzo	  	 m 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruñeira breca3 froalllo lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
barruñeira	  	 f 	babuña babuxa barbaña barbuña barbuza barrallo barrufa barruzo breca3 froallo lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
barrufa	  	 f 	babuña babuxa barbaña barbuña barbuza barrallo barruñeira barruzo breca3 froallo lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
barrallo	  	 m 	babuña babuxa barbaña barbuña barbuza barrufa barruñeira barruzo breca3 froallo lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
barbuña	  	 f 	babuña babuxa barbaña barbuza barrallo barrufa barruñeira barruzo breca3 froallo lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
barbaña	  	 f 	babuña babuxa barbuña barbuza barrallo barrufa barruñeira barruzo breca3 froallo lapiñeira mocalleira orballo patiñeira poalla zarzallo1 	
babuxar	  	 i 	babuñar 	
chuviñar	  	 i 	babuñar babuxar barbañar babuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
zarzallar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar 	
poallar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar zarzallar 	
patiñar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar poallar zarzallar 	
marmañar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar orballar patiñar poallar zarzallar 	
marmallar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmañar orballar patiñar poallar zarzallar 	
lapiñar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar marmallar marmañar orballar patiñar poallar zarzallar 	
froallar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
chuviscar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
brecar2	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
barruzar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruñar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
barruñar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barrufar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
barrufar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrazar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
barrazar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrallar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
barrallar	  	 i 	babuñar babuxar barbañar barbuñar barbuzar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
barbuzar	  	 i 	babuñar babuxar barbañar barbuñar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
barbuñar	  	 i 	babuñar babuxar barbañar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
barbañar	  	 i 	babuñar babuxar barbuñar barbuzar barrallar barrazar barrufar barruñar barruzar brecar2 chuviñar chuviscar froallar lapiñar marmallar marmañar orballar patiñar poallar zarzallar 	
babuña	  	 f 	babuxa 	
babuñar	  	 i 	babuxar 	
bacalao	  	 m 	bacallau> 	
bacarrá	  	 m 	bacará1> 	
bácaro	  	 m 	bácoro=> 	
bacterio-	  	 pref 	bacteri- 	gr 'bastón'
bacteri-	  	 pref 	bacterio- 	gr 'bastón'
batalada	  	 f 	badalada> 	
pacense	  	 a s 	badaxocense 	Badaxoz
baía	  	 f 	badía 	
boga3	  	 f 	baga=> 	
bagazo	  	 m 	bagaño 	
bagaño	  	 m 	bagazo 	
bagdalí	  	 a s 	bagdadí> 	Bagdad (Irak)
bagulla	  	 f 	bágoa lágrima 	
esbagullar	  	 i 	bagoar esbagoar 	
esbagoar	  	 i 	bagoar esbagullar 	
bágoa	  	 f 	bagulla lágrima 	
restrelo2	  	 m 	baguto degaro destelo 	
destelo	  	 m 	baguto degaro restrelo2 	
degaro	  	 m 	baguto destelo restrelo2 	
badía	  	 f 	baía 	
bailable	  	 a 	bailábel 	
bailábel	  	 a 	bailable 	
baravento,a	  	 lav 	balavento, a> 	
balde,en	  	 lav 	balde, de 	
balde,de	  	 lav 	balde, en 	
baleirar	  	 t pr 	baldeirar 	
baleiro	 baleira 	 a m 	baldeiro 	
ballet	  	 m 	balé=> 	fr
baleárico	 baleárica 	 a s 	balear2 	Baleares
baldeirar	  	 t pr 	baleirar 	
baldeiro	 baldeira 	 a m 	baleiro 	
vacío	  	 a m 	baleiro> 	
redeño	  	 m 	ballo entretiño 	
entretiño	  	 m 	ballo redeño 	
chaparrón	  	 m 	ballón> 	
carrela	  	 f 	balsada 	
pela2	  	 f 	baluga 	lat pilula
baluto,en	  	 lav 	baluto, a baluto, de 	
baluto,de	  	 lav 	baluto, a baluto, en 	
baluto,a	  	 lav 	baluto, de baluto, en 	
arrandeadoiro	  	 m 	bambán carriola randeeira 	
columpio	  	 m 	bambán carriola randeeira 	
graderío	  	 m 	bancada> 	
esbarafustar	  	 i 	barafustar 	
baratura	  	 f 	barateza 	
barateza	  	 f 	baratura 	
parraguesa	  	 f 	barbantesa barbatesa 	
barbatesa	  	 f 	barbantesa parraguesa 	
barbería	  	 f 	barbaría 	
barbantesa	  	 f 	barbatesa parraguesa 	
barbaría	  	 f 	barbería 	
asucadoiro	  	 m 	barbullo somadoiro 	
Ba	  	 sb 	bario 	
barronca	  	 f 	barranco 	
barragán2	 barragá 	 s 	barregán> 	
bogada	  	 f 	barrela2 	
rolo2	  	 m 	barrelo berce 	
birrete	  	 m 	barrete=> 	
barranco	  	 m 	barronca 	
reirrei	  	 m 	barrosiña 	
xirgar	  	 t 	barutar bortelar 	
bortelar	  	 t 	barutar xirgar 	
xirgo	  	 m 	baruto bortel 	
bortel	  	 m 	baruto xirgo 	
tamiz	  	 m 	baruto> 	
abastar	  	 i 	bastar 	
bautizar	  	 t 	batear 	
bato-	  	 pref 	bati- 	gr 'profundo'
bati-	  	 pref 	bato- 	gr 'profundo'
escaldrufar	  	 t 	batuxar 	
bautizo	  	 m 	bauticeiro 	
batear1	  	 t 	bautizar 	
bauticeiro	  	 m 	bautizo 	
bávaro	 bávara 	 a s 	bavarés 	Baviera (Al)
bavarés	 bavaresa 	 a s 	bávaro 	Baviera (Al)
beatería	  	 f 	beataría 	
beataría	  	 f 	beatería 	
béboda	  	 f 	bébeda> 	
bebible	  	 a 	bebíbel 	
bebíbel	  	 a 	bebible 	
bicha	  	 f 	becha 	
bicho	  	 m 	becho 	
bichoco	  	 m 	bechoco 	
beguino	 beguina 	 a s 	begardo 	
begardo	 begarda 	 a s 	beguino 	
bendicir	  	 t 	beicer 	
arcén	  	 m 	beiravía> 	
voladizo	  	 m 	beiril> 	
bendición	  	 f 	beizón 	
belio	  	 m 	bel=> 	
gullerpa	  	 af f 	beleca boleca bolerca 	
bolerca	  	 af f 	beleca boleca gullerpa 	
boleca	  	 af f 	beleca bolerca gullerpa 	
meimendro	  	 m 	beleño 	
guelfo	 guelfa 	 a 	belfo> 	
rebeliscar	  	 t 	beliscar 	
blemente	  	 av 	belmente 	
landra	  	 f 	belota 	
beizón	  	 f 	bendición 	
beicer	  	 t 	bendicir 	
benquerencia	  	 f 	benquerenza> 	
benvinda	  	 f 	benvida 	
benvindo	 benvinda 	 a 	benvido 	
benvida	  	 f 	benvinda 	
benvido	 benvida 	 a 	benvindo 	
berbiquí	  	 m 	berbequí> 	
berberisco	 berberisca 	 a s 	bérber 	Berbería (Áf)
carneirolo	  	 m 	berberecho 	
bérber	  	 a s 	berberisco 	Berbería (Áf)
Be	  	 sb 	berilio 	
Bk	  	 sb 	berquelio 	
brota	  	 f 	bertorella 	
seses	  	 fpl 	besa careixa sen2 	
bestería	  	 f 	bestaría 	bésta
bestaría	  	 f 	bestería 	
brigantino	 brigantina 	 a s 	betanceiro 	ant Brigantium
belenita	  	 a s 	betlemita 	Belén (Israel)
breva	  	 f 	bévera> 	
buxato	  	 m 	bexato=> 	
bis-	  	 pref 	bi- 	lat 'dobre'
cigallo	  	 m 	bicada cibaco ciballo 	
ciballo	  	 m 	bicada cibaco cigallo 	
cibaco	  	 m 	bicada ciballo cigallo 	
becha	  	 f 	bicha 	
bichería	  	 f 	bicharía 	
bicharía	  	 f 	bichería 	
becho	  	 m 	bicho 	
bechoco	  	 m 	bichoco 	
bedugo	  	 m 	bidueiro=> 	
bedulo	  	 m 	bidueiro=> 	
bídalo	  	 m 	bidueiro=> 	
bido	  	 m 	bidueiro=> 	
abedueira	  	 f 	bidueiro> 	
neixarigo	  	 m 	bieita leixenzo 	
leixenzo	  	 m 	bieita neixarigo 	
sabugueiro	  	 m 	bieiteiro 	
ruso-branco	 ruso-branca 	 a s 	bielorruso 	
bilbotarra	  	 a s 	bilbaíno 	Bilbo/Bilbao
bilbaíno	 bilbaína 	 a s 	bilbotarra 	Bilbao/Bilbo
grifo1	  	 m 	billa> 	
estornela	  	 f 	billarda 	
bisma	  	 f 	bilma=> 	
píldora1	  	 f 	bilurico 	
minguilete	  	 m 	binguelete> 	
biodegradable	  	 a 	biodegradábel 	
biodegradábel	  	 a 	biodegradable 	
bioenxeñería	  	 f 	bioenxeñaría 	
bioenxeñaría	  	 f 	bioenxeñería 	
pitorro	  	 m 	biquela> biquelo> 	
bolo4	  	 m 	birlo> 	xogo
breco	 breca 	 a 	birollo 	
cirrio	  	 m 	birrio 	
vencello2	  	 m 	birrio> cirrio> 	
brita	  	 f 	birta regadoira 	
britar	  	 t 	birtar 	
bi-	  	 pref 	bis- 	lat 'dous' 'dúas veces'
disilábico	 disilábica 	 a 	bisilábico 	
disílabo	 disílaba 	 a m 	bisílabo 	
Bi	  	 sb 	bismuto 	
inglete	  	 m 	bispel> 	
obispo	  	 m 	bispo> 	
vitola	  	 f 	bitola> 	
vivaque	  	 m 	bivaque> 	
notábel	  	 a m 	ble 	
belmente	  	 av 	blemente 	
boubo	 bouba 	 a 	bobo 	
bocarte	  	 m 	bocareo 	
bocareo	  	 m 	bocarte 	
mocarte	  	 m 	bocarte> 	
boza1	  	 f 	bocha1 bóchega 	
bóchega	  	 f 	bocha1 boza1 	
bróchega	  	 f 	bocha1> bóchega> boza1> 	
bucho1	  	 m 	boche bocho 	
bocho	  	 m 	boche bucho1 	estómago pulmón alga
bocha1	  	 f 	bóchega boza1 	vexiga
boche	  	 m 	bocho bucho1 	estómago pulmón alga
calmuzo	  	 m 	bochorno calmizo 	
calmizo	  	 m 	bochorno calmuzo 	
ranqueiro	  	 m 	boeira 	
barrela2	  	 f 	bogada 	
choruma	  	 f 	bolboreta 	
mariposa	  	 f 	bolboreta> 	
gargalloto	  	 m 	bolboroto borboroto 	
borboroto	  	 m 	bolboroto gargalloto 	
goldra2	  	 f 	bóldrega> 	vexiga
boular	  	 i 	bolear 	
beleca	  	 af f 	boleca bolerca gullerpa 	
bulsa	  	 f 	bolsa1 	
bursátil	  	 a 	bolsista> 	
bulso	  	 m 	bolso 	
bolchevique	  	 a s 	bolxevique> 	
bolchevismo	  	 m 	bolxevismo> 	
porteño	 porteña 	 a s 	bonaerense 	Buenos Aires (Arxentina)
moneca	  	 f 	boneca 	
moneco	  	 m 	boneco 	
boloñés	 boloñesa 	 a s 	bononiense 	Boloña (It)
boquexar	  	 i 	boquear 	
boquear	  	 i 	boquexar 	
bolboroto	  	 m 	borboroto gargalloto 	
burdel	  	 m 	bordel> 	
borde	  	 m 	bordo> 	
abeluria	  	 f 	borleta croque2 estalote estraloque milicroque sanxoán 	
B	  	 sb 	boro 	
broa	  	 f 	boroa> 	
borrón1	  	 m 	borrancho 	
tilleiro	  	 m 	borrea borroeira tilla3 	
tilla3	  	 f 	borrea borroeira tilleiro 	
borroeira	  	 f 	borrea tilla3 tilleiro 	
borrea	  	 f 	borroeira tilla3 tilleiro 	
borrancho	  	 m 	borrón 	
baruto	  	 m 	bortel xirgo 	
barutar	  	 t 	bortelar xirgar 	
bostarega	  	 f 	bosta 	
cachela2	  	 f 	bostela 	
postela	  	 f 	bostela=> 	
botellería	  	 f 	botellaría 	
botellaría	  	 f 	botellería 	
pinallo	  	 m 	botoalla cabezalla cabezallo cabezoalla 	
cabezoalla	  	 f 	botoalla cabezalla cabezallo pinallo 	
cabezallo	  	 m 	botoalla cabezalla cabezoalla pinallo 	
cabezalla	  	 f 	botoalla cabezallo cabezoalla pinallo 	
boubería	  	 f 	boubaría 	
boubaría	  	 f 	boubería 	
bobo	 boba 	 a s 	boubo 	
mouquelo	  	 m 	boucelo bouquelo 	
bouquelo	  	 m 	boucelo mouquelo 	
bolear	  	 i 	boular 	bola
boucelo	  	 m 	bouquelo mouquelo 	
buzo	  	 m 	bozo 	
brado	  	 m 	bradido 	
bradido	  	 m 	brado 	
brañeira	  	 f 	brañal 	
farneiro	  	 m 	brandoeiro 	
brañal	  	 m 	brañeira 	
branqueable	  	 a 	branqueábel 	
branqueábel	  	 a 	branqueable 	
albear	  	 t i 	branquear 	
braquio-	  	 pref 	braqui-2 	lat 'brazo'
braqui-2	  	 pref 	braquio- 	lat 'brazo'
brasil1	  	 m 	brasido 	
brasido	  	 m 	brasil1 	conxunto de brasas
breo	  	 m 	brea2 	
abracar	  	 i 	brecar1 	
birollo	 birolla 	 a 	breco 	
brea2	  	 f 	breo 	alcatrán
cegoña2	  	 f 	brétema 	
britoniense	  	 a s 	bretoñés 	ant Britonia
betanceiro	 betanceira 	 a s 	brigantino 	Betanzos
pincho2	  	 m 	brinco2 	
brenga	  	 f 	bringa=> 	
birta	  	 f 	brita regadoira 	
birtar	  	 t 	britar 	
bretoñés	 bretoñesa 	 a s 	britoniense 	Bretoña
cabano	 cabana 	 a 	broco 	
Br	  	 sb 	bromo 	
machada2	  	 f 	brosa 	machado
bertorella	  	 f 	brota 	
boulla	  	 f 	broulla> 	
bulmeiro	  	 m 	brumeiro> 	
burmeiro	  	 m 	brumeiro> 	
broo	  	 m 	bruño1> 	
bruxería	  	 f 	bruxaría 	
bruxaría	  	 f 	bruxería 	
bufarra	  	 f 	bufarda 	
tragaluz	  	 m 	bufarda> 	
bufarro	  	 m 	bufardo 	
bufarda	  	 f 	bufarra 	
bufardo	  	 m 	bufarro 	
bullaca	  	 f 	bugalla 	
bullaco	  	 m 	bugallo 	
boguina	  	 f 	buguina=> 	
buleira	  	 f 	bula2 	
bosta	  	 f 	buleira 	
bula2	  	 f 	buleira 	
bugalla	  	 f 	bullaca 	
bugallo	  	 m 	bullaco 	
bagullo	  	 m 	bullo 	
billó	  	 m 	bulló> 	
bolsa1	  	 f 	bulsa 	
bolso	  	 m 	bulso 	
burata	  	 f 	buraca 	
furaco	  	 m 	buraco burato 	
burato	  	 m 	buraco furaco 	
buraca	  	 f 	burata 	
buraco	  	 m 	burato furaco 	
gurgulla	  	 f 	burbulla 	
gurgullar	  	 i 	burbullar 	
aburbullar	  	 i 	burbullar=> 	
borbullar	  	 i 	burbullar=> 	
burelense	  	 a s 	burelán burelao 	Burela
burelao	 burelá 	 a s 	burelán burelense 	Burela
burelán	 burelá 	 a s 	burelao burelense 	Burela
asnelo	  	 m 	burro guindastre 	
butileno	  	 m 	buteno 	
buteno	  	 m 	butileno 	
butiro-	  	 pref 	butir- 	gr 'manteiga'
butir-	  	 pref 	butiro- 	gr 'manteiga'
trompo	  	 m 	buxaina=> 	
buxería	  	 f 	buxaría 	
buxaría	  	 f 	buxería 	
boxe	  	 m 	buxo=> 	
bozo	  	 m 	buzo 	
cabazo1	  	 m 	cabaceira1 cabaceiro 	
cabaceiro	  	 m 	cabaceira1 cabazo1 	
cabaceira1	  	 f 	cabaceiro cabazo1 	hórreo
xarda	  	 f 	cabala 	
cabalería	  	 f 	cabalaría 	
tortícolis	  	 f 	cabaleiro2> 	
cabaliñas,ás	  	 lav 	cabaleirolas, ás 	
cabalaría	  	 f 	cabalería 	
cabaleirolas,ás	  	 lav 	cabaliñas, ás 	
cabalo,dea	  	 lav 	cabalo, a 	
cabalo,a	  	 lav 	cabalo, de a 	
cabanés	 cabanesa 	 a s 	cabanense 	Cabana Cabanas
cabanense	  	 a s 	cabanés 	Cabana Cabanas
broco	 broca 	 a 	cabano 	
botoalla	  	 f 	cabezalla cabezallo cabezoalla pinallo 	
cabildo	  	 m 	cabido> 	
cadrifollo	  	 m 	cabrifollo 	
caprino	 caprina 	 a 	cabrún 	
cascarexar	  	 i 	cacarexar 	
cascarexo	  	 m 	cacarexo 	
cazaría	  	 f 	cacería 	
nádega	  	 f 	cacha3 	
verrún	  	 m 	cachaceira cachaza1 verroallo 	
verroallo	  	 m 	cachaceira cachaza1 verrún 	
cachaza1	  	 f 	cachaceira verroallo verrún 	
verrón	  	 m 	cachaceiro cacheiro2 	
cacheiro2	  	 m 	cachaceiro verrón 	porco
cazabello	 cazabella 	 s 	cachafello 	
arna	  	 f 	cachal 	
matapiollos	  	 m 	cachapiollos 	
cacheira2	  	 f 	cacharela 	
cachela1	  	 f 	cacharela 	
cachaceira	  	 f 	cachaza1 verroallo verrún 	
cachola	  	 f 	cacheira cachucha 	
cachaceiro	  	 m 	cacheiro2 verrón 	porco
cachoeiro	 cachoeira 	 a 	cacheiro2> 	
cachondo	 cachonda 	 a 	cacheiro2> 	
cacharela	  	 f 	cachela1 	
bostela	  	 f 	cachela2 	
seimeira	  	 f 	cachoeira cadoiro fervenza pincheira ruxidoira 	
ruxidoira	  	 f 	cachoeira cadoiro fervenza pincheira seimeira 	
pincheira	  	 f 	cachoeira cadoiro fervenza ruxidoira seimeira 	
fervenza	  	 f 	cachoeira cadoiro pincheira ruxidoira seimeira 	
cadoiro	  	 m 	cachoeira fervenza pincheira ruxidoira seimeira 	
deligras	  	 fpl 	cachogas celigras cóchegas coscas cóxegas 	
cóxegas	  	 fpl 	cachogas celigras cóchegas coscas deligras 	
coscas	  	 fpl 	cachogas celigras cóchegas cóxegas deligras 	
cóchegas	  	 fpl 	cachogas celigras coscas cóxegas deligras 	
celigras	  	 fpl 	cachogas cóchegas coscas cóxegas deligras 	
cachucha	  	 f 	cachola cacheira 	
cacheira1	  	 f 	cachola cachucha 	
cachotería	  	 f 	cachotaría 	
cachotaría	  	 f 	cachotería 	
cacipo	  	 m 	cacifo 	
cachifo	  	 m 	cacifo> 	
cachifro	  	 m 	cacifo> 	
cacifo	  	 m 	cacipo 	
acadullar	  	 t 	cadabullar cadullar coudullar 	
coudullo	  	 m 	cadabullo cadullo cotellón cotillón2 	
cotillón2	  	 m 	cadabullo cadullo cotellón coudullo 	terrón
cotellón	  	 m 	cadabullo cadullo cotillón2 coudullo 	terrón
cadullo	  	 m 	cadabullo cotellón cotillón2 coudullo 	
